Country,2013,2014,2015,2016,2017,2018
Afghanistan,1,1,1,1,1,1
Albania,4,4,4,4,4,4
Algeria,1,1,1,1,1,1
Andorra,4,4,4,4,4,4
Angola,3,2,2,1,1,2
"Antigua and Barbuda",4,4,4,4,4,4
Argentina,4,4,4,4,4,4
Armenia,2,2,2,2,2,2
Australia,4,4,4,4,4,4
Austria,4,4,4,4,4,3
Azerbaijan,1,1,1,1,,
Bahamas,4,4,4,4,4,4
Bahrain,2,1,1,1,1,1
Bangladesh,2,2,2,2,2,2
Barbados,4,4,4,4,4,4
Belarus,1,1,1,1,1,1
Belgium,3,3,3,3,3,3
Belize,4,4,4,4,4,4
Benin,4,4,4,4,4,4
Bhutan,2,2,2,2,2,2
Bolivia,4,4,4,4,4,4
"Bosnia and Herzegovina",3,3,3,3,3,3
Botswana,4,4,4,4,4,4
Brazil,4,4,4,4,4,4
Brunei,1,1,1,1,1,1
Bulgaria,3,3,3,3,3,3
"Burkina Faso",4,4,4,4,4,4
"Burma (Myanmar)",1,1,1,1,1,1
Burundi,3,3,3,3,3,3
Cambodia,3,3,3,3,3,3
Cameroon,2,2,2,2,2,2
Canada,4,4,4,4,4,4
"Cape Verde",4,4,4,4,4,4
"Central African Republic",2,,,,,
Chad,1,1,1,1,1,1
Chile,4,4,4,4,4,4
Colombia,4,4,4,4,4,4
Comoros,2,2,2,2,2,2
"Congo (Brazzaville)",3,3,3,3,3,3
"Congo (Kinshasa)",3,3,3,3,3,3
"Costa Rica",4,4,4,4,4,4
Croatia,3,3,3,3,3,3
Cuba,2,2,2,3,3,3
Cyprus,4,4,4,4,4,4
"Czech Republic",4,4,4,4,3,3
Denmark,4,4,4,4,4,4
Djibouti,2,2,1,1,1,1
Dominica,4,4,4,4,4,4
"Dominican Republic",4,4,4,4,4,4
Ecuador,4,4,4,4,4,4
Egypt,1,1,1,1,1,1
"El Salvador",4,4,4,4,4,4
"Equatorial Guinea",2,2,2,2,2,2
Estonia,4,4,4,4,4,4
Ethiopia,2,2,2,2,2,2
Fiji,3,3,3,3,4,4
Finland,4,4,4,4,4,4
France,3,3,3,3,3,3
Gabon,3,3,3,3,3,3
Gambia,2,2,2,2,2,2
Georgia,2,2,2,2,2,2
Germany,3,3,3,3,3,3
Ghana,3,3,3,3,3,3
Greece,3,3,3,3,3,3
Grenada,4,4,4,4,4,4
Guatemala,4,4,4,4,4,4
Guinea,3,3,3,3,3,3
"Guinea Bissau",3,3,3,3,3,3
Guyana,4,4,4,4,4,4
Haiti,3,3,3,3,3,3
Honduras,4,4,4,4,4,4
"Hong Kong",4,4,4,4,4,4
Hungary,4,4,4,4,4,4
Iceland,4,4,4,4,4,4
India,3,3,3,3,3,3
Indonesia,1,1,1,1,1,1
Iraq,1,1,1,1,1,1
Ireland,4,4,4,4,4,4
Israel,3,3,3,3,3,3
Italy,4,4,4,4,4,4
"Ivory Coast",2,2,2,3,3,3
Jamaica,4,4,4,4,4,4
Japan,3,4,4,4,4,4
Jordan,2,2,2,2,2,2
Kazakhstan,1,1,1,1,1,1
Kenya,2,2,2,2,2,2
Kiribati,4,4,4,4,4,4
Kosovo,2,2,2,2,2,2
Kuwait,2,2,2,2,2,2
Kyrgyzstan,1,1,1,1,1,2
Laos,2,2,2,2,2,2
Latvia,4,4,4,4,4,4
Lebanon,3,3,3,3,3,3
Lesotho,4,4,4,4,4,4
Liberia,2,2,2,2,3,3
Libya,1,1,1,1,1,1
Liechtenstein,4,4,4,4,4,4
Lithuania,4,4,4,4,4,4
Luxembourg,4,4,4,4,4,4
"Macedonia (F.Y.R.O.M.)",3,3,3,3,3,3
Madagascar,2,2,2,2,2,2
Malawi,3,3,3,4,4,4
Malaysia,1,1,1,1,1,1
Maldives,1,1,1,1,1,
Mali,2,3,3,3,3,3
Malta,4,4,4,4,4,4
"Marshall Islands",4,4,4,4,4,4
Mauritania,2,2,2,2,2,2
Mauritius,4,4,4,4,4,4
Mexico,4,4,4,4,4,4
Micronesia,4,4,4,4,4,4
Moldova,3,3,3,3,3,3
Monaco,4,4,4,4,4,4
Mongolia,4,4,4,4,4,4
Montenegro,3,3,3,3,3,3
Morocco,2,2,2,2,2,2
