Country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Aruba,,,,,,,,,,,,,,,,,,,22.082389831543,19.2789192199707,21.8227596282959,21.3203907012939,19.7571506500244,17.3275,14.8978595733643,18.9007091522217,19.8448,20.7887992858887,19.0361995697021,21.537260055542,22.1436595916748,21.7454605102539,20.6340808868408,21.8745899200439,19.612720489502,22.8549900054932,21.3665504455566,,,
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0675601959229,16.0484294891357,10.3568000793457,14.1028003692627,14.4659299850464,12.5089998245239,16.2117004394531,15.6613798141479,,
Angola,,,,,,,,,,,,,,,,,,,6.11467981338501,5.6849,5.2550802230835,5.8025,6.35,6.8974,7.4449,7.99235010147095,7.45479011535645,7.7623,8.0698,8.3773,8.68476963043213,,,,,,,,,
Albania,,,,,,,,,,,,,,,,,,11.1533899307251,9.6240701675415,9.68245983123779,10.1370296478271,10.5819301605225,9.88691997528076,10.5735998153687,10.7031602859497,11.3579702377319,10.9329500198364,11.1771898269653,11.335,11.4928,11.6505,11.8083,11.9661,12.1239099502563,11.7208,11.3177003860474,13.596960067749,12.3908004760742,,
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.4890995025635,19.2265205383301,18.9569396972656,19.3230590820313,
Argentina,,,,,,,,,,,,,,,,,15.3987703323364,15.51,15.6212596893311,15.8775396347046,16.2261505126953,16.3559608459473,16.4422092437744,14.3547201156616,15.1393003463745,15.8031702041626,15.5098400115967,15.1015701293945,15.7478399276733,16.0206699371338,15.0479698181152,15.1585597991943,14.5182600021362,14.4579296112061,13.7993297576904,13.9633102416992,13.3555402755737,13.2639198303223,,
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,13.6480903625488,13.578519821167,13.4655895233154,14.2684497833252,13.4512195587158,12.4005098342896,12.5933399200439,12.3689699172974,11.1367597579956,9.36711978912354,10.6563596725464,10.1971998214722,10.4031295776367,,
"Antigua and Barbuda",,,,,,,,,,,,,,,,,,,,12.4394102096558,12.1935,11.9475,11.7015399932861,11.0196,10.3377,9.6558,8.9739,8.292,7.6101,6.92814016342163,,,,,,,,,,
Australia,,,,,,,,,13.2497301101685,13.3509197235107,13.5917196273804,14.0653095245361,13.2040195465088,15.0169200897217,14.2970199584961,14.7700595855713,14.2461204528809,14.0246,13.8031,13.5817,13.3601598739624,13.4052,13.4501,13.4951,13.5401,13.585129737854,13.1781997680664,13.0302696228027,12.5997200012207,13.421669960022,14.3240003585815,13.4849996566772,13.1744003295898,14.0413904190063,13.8837900161743,14.079719543457,13.7710695266724,13.6134099960327,,
Austria,,,,,,,,,,11.2860403060913,11.5131101608276,11.7502098083496,11.7597103118896,11.0731801986694,10.7896,10.5061197280884,9.7409496307373,10.5164,11.2919502258301,12.1505699157715,11.0332202911377,10.8563203811646,10.5323295593262,10.7396202087402,9.87333011627197,10.2618503570557,10.3745803833008,10.4522895812988,10.5551500320435,10.583930015564,10.7891302108765,10.9884901046753,10.7011804580688,10.7402896881104,10.4111604690552,10.6934795379639,10.9538497924805,10.9501600265503,,
Azerbaijan,,,,,,,,,,,,,,,,41.4027900695801,24.1167297363281,21.4368,18.7569408416748,21.60498046875,21.1190795898438,20.8775501251221,13.6307201385498,15.1708402633667,14.2350397109985,13.2231502532959,10.1004199981689,9.77937030792236,7.76384019851685,9.3439302444458,8.70083999633789,7.2198600769043,5.64367008209229,6.46412992477417,7.23872995376587,7.63110017776489,8.20689964294434,6.95039987564087,7.43546009063721,
Burundi,,,,,,,,,,,,18.8640308380127,18.1227207183838,17.4396,16.7564392089844,23.7924404144287,16.7136001586914,15.6486,14.5836,13.5186395645142,10.7352600097656,11.4331302642822,12.4860801696777,10.8326,9.17908000946045,10.9592695236206,11.5114,12.0634,12.6155395507813,16.3016891479492,16.5881004333496,14.9792995452881,16.4283199310303,17.2432594299316,19.6883106231689,24.2165508270264,20.9095001220703,20.4013690948486,19.9198703765869,
